participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
3;22;f;0;0;b/y;0;40;50;0.0;8.0;3.0;blueDot100S;target1;792.034309557689;340.08430986901
3;22;f;0;0;b/y;0;40;50;0.0;8.0;1.0;blueDot100S;target1;816.347507098064;182.502805864062
3;22;f;0;0;b/y;0;40;50;0.0;6.0;7.0;blueDot100S;target1;657.961878504808;656.019843736261
3;22;f;0;0;b/y;0;40;50;0.0;9.0;7.0;blueDot100S;target1;919.868620349897;643.769490228966
3;22;f;0;0;b/y;0;40;50;0.0;6.0;3.0;blueDot100S;target1;657.546725275813;330.789670376773
3;22;f;0;0;b/y;0;40;50;0.0;8.0;4.0;blueDot100S;target1;804.286908727214;414.244452653364
3;22;f;0;0;b/y;0;40;50;0.0;7.0;6.0;blueDot100S;target1;736.415577373637;573.289981189454
3;22;f;0;0;b/y;0;40;50;0.0;3.0;1.0;blueDot100S;target1;398.181336412369;210.55897087262
3;22;f;0;0;b/y;0;40;50;0.0;3.0;2.0;blueDot100S;target1;375.708003154365;259.072997504725
3;22;f;0;0;b/y;0;40;50;0.0;0.0;2.0;blueDot100S;target1;134.894547222885;290.738675068004
3;22;f;0;0;b/y;0;40;50;0.0;5.0;2.0;yellowDot100S;target2;563.514427602364;274.409129882325
3;22;f;0;0;b/y;0;40;50;0.0;2.0;6.0;yellowDot100S;target2;320.571467844006;553.957685882829
3;22;f;0;0;b/y;0;40;50;0.0;9.0;5.0;yellowDot100S;target2;915.042809582989;499.923775504606
3;22;f;0;0;b/y;0;40;50;0.0;4.0;0.0;yellowDot100S;target2;461.705748774013;124.197026940994
3;22;f;0;0;b/y;0;40;50;0.0;3.0;7.0;yellowDot100S;target2;383.797823613308;655.76941445673
3;22;f;0;0;b/y;0;40;50;0.0;4.0;5.0;yellowDot100S;target2;473.969079158352;482.468320941169
3;22;f;0;0;b/y;0;40;50;0.0;2.0;5.0;yellowDot100S;target2;320.243955312757;481.622185124855
3;22;f;0;0;b/y;0;40;50;0.0;8.0;2.0;yellowDot100S;target2;819.962125270976;283.368085193122
3;22;f;0;0;b/y;0;40;50;0.0;4.0;4.0;yellowDot100S;target2;451.887283343051;443.969722855754
3;22;f;0;0;b/y;0;40;50;0.0;1.0;7.0;yellowDot100S;target2;191.389962884699;640.64236888474
3;22;f;0;0;b/y;0;40;50;0.0;7.0;3.0;redDot100S;distractor1;737.92514223688;338.503460968835
3;22;f;0;0;b/y;0;40;50;0.0;0.0;4.0;redDot100S;distractor1;152.265078240139;425.637309481895
3;22;f;0;0;b/y;0;40;50;0.0;9.0;3.0;redDot100S;distractor1;920.991100464439;322.929170756671
3;22;f;0;0;b/y;0;40;50;0.0;1.0;5.0;redDot100S;distractor1;234.083811191638;514.550343530679
3;22;f;0;0;b/y;0;40;50;0.0;4.0;2.0;redDot100S;distractor1;452.748340145786;261.465233815508
3;22;f;0;0;b/y;0;40;50;0.0;7.0;0.0;redDot100S;distractor1;727.951517795076;100.581826815391
3;22;f;0;0;b/y;0;40;50;0.0;3.0;4.0;redDot100S;distractor1;391.778682735284;435.975597475146
3;22;f;0;0;b/y;0;40;50;0.0;5.0;1.0;redDot100S;distractor1;570.89591519005;172.31086438843
3;22;f;0;0;b/y;0;40;50;0.0;0.0;1.0;redDot100S;distractor1;136.269095865421;198.365788810783
3;22;f;0;0;b/y;0;40;50;0.0;4.0;3.0;redDot100S;distractor1;475.759382867505;343.816011492334
3;22;f;0;0;b/y;0;40;50;0.0;5.0;5.0;greenDot100S;distractor2;569.241967424307;485.903606280149
3;22;f;0;0;b/y;0;40;50;0.0;6.0;6.0;greenDot100S;distractor2;659.189275053561;594.455595902341
3;22;f;0;0;b/y;0;40;50;0.0;8.0;6.0;greenDot100S;distractor2;828.943337604285;567.574647000235
3;22;f;0;0;b/y;0;40;50;0.0;1.0;0.0;greenDot100S;distractor2;221.21122606427;135.978769792238
3;22;f;0;0;b/y;0;40;50;0.0;8.0;7.0;greenDot100S;distractor2;829.199065181487;655.275763621528
3;22;f;0;0;b/y;0;40;50;0.0;2.0;3.0;greenDot100S;distractor2;287.638847844483;349.712688929683
3;22;f;0;0;b/y;0;40;50;0.0;0.0;5.0;greenDot100S;distractor2;134.047831084734;499.031604236392
3;22;f;0;0;b/y;0;40;50;0.0;2.0;1.0;greenDot100S;distractor2;273.879803580073;198.95972790194
3;22;f;0;0;b/y;0;40;50;0.0;5.0;0.0;greenDot100S;distractor2;545.674710803351;130.200923334693
3;22;f;0;0;b/y;0;40;50;0.0;2.0;4.0;greenDot100S;distractor2;303.716170349926;420.528286221648
3;22;f;1;0;b/y;0;40;50;0.0;8.0;5.0;blueDot100S;target1;818.116704450723;483.846338056302
3;22;f;1;0;b/y;0;40;50;0.0;1.0;7.0;blueDot100S;target1;203.976954345644;654.939060627343
3;22;f;1;0;b/y;0;40;50;0.0;8.0;4.0;blueDot100S;target1;794.179859760399;415.465243449361
3;22;f;1;0;b/y;0;40;50;0.0;5.0;3.0;blueDot100S;target1;577.730771316106;341.313817737429
3;22;f;1;0;b/y;0;40;50;0.0;1.0;1.0;blueDot100S;target1;220.555052694196;191.727919687575
3;22;f;1;0;b/y;0;40;50;0.0;5.0;5.0;blueDot100S;target1;558.526063007689;517.724487501717
3;22;f;1;0;b/y;0;40;50;0.0;8.0;3.0;blueDot100S;target1;794.575529770493;367.014314791825
3;22;f;1;0;b/y;0;40;50;0.0;0.0;1.0;blueDot100S;target1;141.551297885531;176.006225683937
3;22;f;1;0;b/y;0;40;50;0.0;5.0;2.0;blueDot100S;target1;572.690892758955;260.972044903613
3;22;f;1;0;b/y;0;40;50;0.0;9.0;3.0;blueDot100S;target1;882.73907842032;361.409001964358
3;22;f;1;0;b/y;0;40;50;0.0;7.0;4.0;yellowDot100S;target2;744.077080452094;444.18892213269
3;22;f;1;0;b/y;0;40;50;0.0;9.0;0.0;yellowDot100S;target2;876.927458125088;125.258923236247
3;22;f;1;0;b/y;0;40;50;0.0;2.0;6.0;yellowDot100S;target2;287.002000897548;568.55352401122
3;22;f;1;0;b/y;0;40;50;0.0;7.0;6.0;yellowDot100S;target2;716.121403077642;569.344188345962
3;22;f;1;0;b/y;0;40;50;0.0;0.0;6.0;yellowDot100S;target2;113.367884507846;575.002310194536
