participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;52576.1906249973;0.0;1;1;52555.99;1;0;809.153990254621;108.65181691158;8.0;0.0;811.5;114.5;0.0;0.0;1;0;2;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;52776.1609583104;199.970333313104;1;0;52756.02;2;0;890.460648201255;111.754808775102;9.0;0.0;899.5;126.0;80.6225774829855;81.3658477799873;2;0;1;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;53209.4794166624;433.318458352005;2;0;53172.98;2;0;719.255874105769;207.795299333076;7.0;1.0;731.0;222.5;193.742741799532;196.302955911781;3;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;53459.720291663;250.2408750006;3;0;53439.29;2;0;919.362846589999;263.781782331209;9.0;2.0;930.5;261.5;201.257298004321;207.791450053425;4;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;53709.5622499764;249.841958313482;4;0;53689.33;2;0;878.588114891472;340.743975946462;9.0;3.0;898.0;340.5;82.172075548814;87.0962570444825;5;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;53943.1597083167;233.597458340228;5;0;53923.00;2;0;815.808504762678;356.166369409338;8.0;3.0;811.5;359.0;88.6129223082051;64.6461883489444;6;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;54109.7785833117;166.618874995038;6;0;54072.96;2;0;834.751894774926;408.641711812941;8.0;4.0;847.0;409.0;54.4265560181792;55.7899057673648;7;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;54293.2023333269;183.423750015208;7;7;54270.28;2;0;801.636297260323;477.531162371784;8.0;5.0;805.5;461.5;59.0698738783147;76.4355885504163;8;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;54776.434166648;200.186916656094;1;0;54756.04;3;0;916.354627587684;577.604421773012;9.0;6.0;932.5;587.5;67.0298440994756;152.23321766383;10;0;1;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;55493.0916666635;316.845583351096;2;2;55473.07;3;0;714.633207618145;554.042878347845;7.0;6.0;716.5;568.0;186.676859840742;203.092780775446;12;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;55709.7366249945;216.644958331017;1;0;55689.36;4;0;725.663940509807;632.056525352607;7.0;7.0;736.0;644.0;74.9483155247668;78.7896324849329;13;0;1;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;55909.7615416686;200.02491667401;2;2;55889.42;4;0;804.944861301854;658.655230415593;8.0;7.0;806.0;672.0;73.2700484509189;83.623893192452;14;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;56310.3032083309;400.54166666232;1;1;56279.18;5;0;904.368327599313;508.824571613743;9.0;5.0;886.5;505.5;184.028530396784;179.817273829847;15;0;1;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;56893.5951250023;583.291916671442;1;1;56873.16;6;0;621.279183948145;562.110742676447;6.0;6.0;619.5;571.5;281.375194357996;288.060547940317;16;0;1;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;57126.5445833269;232.949458324583;1;0;57106.13;7;0;634.610834028179;630.907620744452;6.0;7.0;641.0;638.0;70.6912300076891;70.0766960248587;17;0;1;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;57326.6087916563;200.064208329422;2;0;57306.31;7;0;574.603910194623;593.389272640963;5.0;6.0;568.5;599.5;79.3237038973849;70.7704553636675;18;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;57526.5564583242;199.947666667867;3;0;57506.08;7;0;549.413284657696;674.949190456867;5.0;7.0;553.0;679.0;77.0146090037468;85.3615124577743;19;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target2;greenDot100S;57759.9724166503;233.415958326077;4;4;57723.18;7;0;472.465334588423;633.817863419518;4.0;7.0;457.5;634.0;106.219113157661;87.2512067751316;20;0;0;0
9;0;;0;0;r/g;0;80;50;0.0;target1;redDot100S;57994.4321249786;234.459708328359;1;1;57968.79;8;0;385.622475759424;657.80218800174;3.0;7.0;393.5;664.5;70.774289116882;90.0940062116165;21;0;1;0
